sale_id,sale_date,amount,product
0,1999-08-22,236.62,Doohickey
1,2008-04-03,106.74,Gadget
2,2015-07-10,348.06,Widget
3,2000-07-07,97.49,Thingamajig
4,2020-01-24,168.06,Gadget
5,2005-12-19,295.19,Doohickey
6,2003-04-11,252.88,Widget
7,2009-06-15,176.08,Gadget
8,1999-04-16,274.34,Thingamajig
9,2015-03-11,170.74,Kazoobob
10,2016-11-03,153.39,Doohickey
11,2018-08-21,343.11,Gadget
12,2022-02-16,244.56,Gadget
13,2023-10-06,106.36,Thingamajig
14,2015-04-04,153.23,Kazoobob
15,2020-10-01,206.71,Widget
16,2019-01-10,159.07,Doohickey
17,2004-02-26,128.63,Widget
18,2014-03-15,300.87,Doohickey
19,2017-08-05,211.93,Thingamajig
20,2022-11-30,180.16,Kazoobob
21,2005-03-31,100.11,Thingamajig
22,2019-07-21,60.62,Widget
23,2009-05-06,182.34,Gadget
24,2012-09-11,327.42,Gadget
25,2010-01-25,179.70,Widget
26,2012-06-30,344.22,Gadget
27,2023-03-21,185.01,Kazoobob
28,2004-05-24,214.39,Kazoobob
29,2010-02-24,290.17,Doohickey
30,1998-06-03,283.12,Widget
31,2020-11-19,266.09,Kazoobob
32,1997-04-12,119.09,Gadget
33,2015-05-22,79.86,Gadget
34,2015-06-07,252.60,Widget
35,2004-07-29,204.18,Gadget
36,2014-03-20,161.76,Gadget
37,2005-06-27,296.97,Doohickey
38,2002-10-31,341.17,Kazoobob
39,2021-06-19,277.18,Kazoobob
40,2021-08-26,205.93,Thingamajig
41,1997-02-19,262.06,Doohickey
42,2010-05-14,172.12,Kazoobob
43,1998-07-04,343.02,Widget
44,2020-06-15,130.90,Doohickey
45,2015-11-25,284.58,Widget
46,2005-01-27,328.58,Doohickey
47,2016-06-16,239.67,Widget
48,2016-05-18,318.03,Widget
49,2020-02-26,139.46,Widget
50,2013-08-23,115.35,Gadget
51,1999-02-13,168.22,Thingamajig
52,2010-03-13,148.14,Kazoobob
53,2009-04-27,73.71,Kazoobob
54,2001-01-31,265.90,Kazoobob
55,2006-09-06,122.74,Widget
56,2005-03-18,73.33,Thingamajig
57,2021-02-17,146.89,Gadget
58,2021-05-01,317.80,Widget
59,2014-07-30,319.86,Thingamajig
60,2006-10-20,130.24,Gadget
61,2011-09-07,239.99,Doohickey
62,2012-08-09,272.59,Widget
63,2023-10-06,252.47,Doohickey
64,2024-03-16,167.51,Gadget
65,2002-05-12,142.03,Thingamajig
66,2004-09-21,231.77,Gadget
67,2004-11-21,158.27,Gadget
68,1998-01-19,203.35,Gadget
69,2006-09-21,90.84,Widget
70,2012-05-08,95.10,Widget
71,2000-11-26,304.34,Gadget
72,2008-10-17,305.12,Gadget
73,2009-01-12,177.95,Gadget
74,2014-03-30,258.41,Gadget
75,2020-07-30,94.86,Gadget
76,2000-10-20,168.82,Thingamajig
77,2006-09-14,270.00,Widget
78,2007-09-11,100.36,Widget
79,2001-12-08,93.27,Doohickey
80,2007-01-05,334.97,Gadget
81,2021-01-28,294.35,Kazoobob
82,2005-02-06,126.82,Gadget
83,2018-11-17,136.53,Thingamajig
84,2000-06-27,196.30,Thingamajig
85,2018-11-15,96.60,Kazoobob
86,2005-07-29,250.92,Kazoobob
87,2004-05-05,152.19,Gadget
88,2022-10-10,326.93,Gadget
89,2001-08-01,136.21,Widget
90,2013-03-29,223.67,Kazoobob
91,2017-10-12,196.07,Kazoobob
92,2015-03-14,198.49,Doohickey
93,1998-10-22,234.83,Kazoobob
94,2005-11-09,248.66,Doohickey
95,1998-05-22,133.05,Thingamajig
96,2017-05-08,189.73,Kazoobob
97,2017-08-17,278.00,Kazoobob
98,2010-10-18,56.00,Gadget
99,2019-10-10,327.75,Thingamajig
